,geno,dcc,passed,age_group,animal
2139,e4,0.8700641914751406,False,Mid,caf50
2140,e4,0.06524408674528126,False,Mid,caf50
2141,e4,0.2936331165513886,False,Mid,caf50
2149,wt,0.02001358449387025,False,Young,caf92
2150,wt,0.1030481253941713,,Young,caf92
2151,wt,0.057788028567150596,True,Young,caf92
2152,wt,0.08102726707667585,True,Mid,caf26
2153,wt,0.004627111860304511,False,Mid,caf26
2154,wt,0.04817428910071375,True,Mid,caf26
2155,wt,0.4097892420042364,True,Mid,caf26
2156,wt,0.45101330635503967,False,Mid,caf26
2157,wt,0.2695297393081697,True,Mid,caf26
2158,wt,0.01793066163244128,False,Mid,caf26
2159,wt,0.2145515075439437,True,Mid,caf26
2160,wt,0.05736875536014496,True,Mid,caf26
2161,wt,0.0990295136431727,True,Mid,caf26
2162,wt,0.011154009119330066,False,Mid,caf26
2163,wt,0.20047012311150492,False,Mid,caf26
2164,wt,0.4526649325354182,False,Mid,caf26
2165,wt,0.38407796067448396,False,Mid,caf26
2166,wt,0.3894663566874961,True,Mid,caf26
2167,wt,0.25845833738747515,False,Mid,caf26
2194,wt,0.12061256748449978,True,Mid,caf26
2195,wt,0.2468174814775208,False,Mid,caf26
2196,wt,0.07863814315015771,False,Mid,caf26
2197,wt,0.44877642015264185,False,Mid,caf26
2198,wt,0.391618431640383,True,Mid,caf26
2199,wt,0.06448133507610665,True,Mid,caf26
2200,wt,0.4627427453045865,True,Mid,caf26
2201,wt,0.4918289130394595,False,Mid,caf26
2202,wt,0.39850865359633336,True,Mid,caf26
2211,e4,0.09684097284345916,True,Mid,caf50
2212,e4,0.09988091890240236,True,Mid,caf50
2224,wt,0.0034975752807446803,True,Mid,eab50
2225,wt,0.13321147116062693,,Mid,eab50
2240,wt,0.03905933674159545,False,Young,caf95
2241,wt,0.028372364512174952,False,Young,caf95
2271,e4,0.21807068670930563,True,Mid,caf50
2286,wt,0.007843736852932937,True,Old,caf81
2287,wt,0.004009108931471106,True,Old,caf81
2288,wt,0.042240459516059925,True,Old,caf81
2289,wt,0.014756520067997547,True,Old,caf81
2290,wt,0.29276554363932283,True,Old,caf81
2291,wt,0.16968466852030128,True,Old,caf81
2297,wt,0.18720131140260898,True,Old,caf88
2298,wt,0.025101639819627986,False,Old,caf88
2304,wt,0.07588036606614001,False,Young,caf92
2305,wt,0.03829647241641254,True,Young,caf92
2306,wt,0.20266358871182932,,Young,caf92
2307,wt,0.1918261853138643,False,Young,caf92
2309,wt,0.22202196615755465,False,Young,caf95
2310,wt,0.03167482051728743,False,Young,caf95
2333,e4,0.1303533888733055,True,Mid,caf50
2334,e4,0.015092406648457679,True,Mid,caf50
2348,e4,0.5833647627195226,False,Mid,caf50
2349,e4,0.010034504854328663,False,Mid,caf50
2354,e4,0.034579537588928844,True,Mid,caf50
2355,e4,0.011647228799526399,True,Mid,caf50
2366,wt,0.05947934969722124,False,Young,caf92
2367,wt,0.1203128470985122,True,Young,caf92
2368,wt,0.07092569215595668,,Young,caf92
2369,wt,0.1417656359860866,,Young,caf92
2384,wt,0.16855759461106423,False,Young,caf95
2385,wt,0.15483146040909102,False,Young,caf95
2391,wt,0.1430624789752757,False,Old,caf88
2392,wt,0.2664680274038609,False,Old,caf88
2398,wt,0.0013615218719165156,True,Old,caf81
2399,wt,0.062068315100925364,True,Old,caf81
2400,wt,0.052692378247819915,True,Old,caf81
2401,wt,0.041873547087119656,True,Old,caf81
2402,wt,0.09655499395832523,True,Old,caf81
2403,wt,0.0350403075429393,True,Old,caf81
2406,wt,0.02908677624355649,True,Old,caf81
2407,wt,0.021801217019635777,True,Old,caf81
2408,wt,0.011103797066282617,True,Old,caf81
2409,wt,0.05151902535708097,True,Old,caf81
2410,wt,0.03730440162531434,True,Old,caf81
2411,wt,0.07105695341818064,True,Old,caf81
2424,e4,0.054761464642947066,True,Mid,caf50
2427,wt,0.12125502202741534,False,Mid,caf26
2428,wt,0.1002579540002464,True,Mid,caf26
2429,wt,0.14230983191512592,True,Mid,caf26
2430,wt,0.19844137545488794,False,Mid,caf26
2431,wt,0.36973405431231154,False,Mid,caf26
2432,wt,0.20032143028176996,False,Mid,caf26
2433,wt,0.27882957176639733,True,Mid,caf26
2434,wt,0.3483717996736875,True,Mid,caf26
2440,wt,0.19840956433579904,True,Mid,caf26
2441,wt,0.07903486692753026,False,Mid,caf26
2442,wt,0.1846504346869251,True,Mid,caf26
2443,wt,0.37655344178563,False,Mid,caf26
2444,wt,0.03451449964877562,True,Mid,caf26
2445,wt,0.17959396180586706,True,Mid,caf26
2446,wt,0.2181573477288945,True,Mid,caf26
2447,wt,0.2786864427261977,True,Mid,caf26
2465,e4,0.05650128475200611,True,Mid,caf50
2466,e4,0.19250247464973103,False,Mid,caf50
2467,e4,0.12548652604018806,True,Mid,caf50
2468,e4,0.0054298248696265095,True,Mid,caf50
2469,e4,0.04129919716188746,True,Mid,caf50
2470,e4,0.1445442756474371,True,Mid,caf50
2471,e4,0.03091769039015313,False,Mid,caf50
2472,e4,0.0762894869736459,True,Mid,caf50
2473,e4,0.0454235627648365,False,Mid,caf50
2474,e4,0.31026038636550823,True,Mid,caf50
2475,e4,0.2430433976836981,True,Mid,caf50
2476,e4,0.1612392617246552,True,Mid,caf50
2491,e4,0.009257213801429742,True,Mid,caf50
2492,wt,0.35975454007768115,False,Mid,caf26
2493,wt,0.008349226651338304,False,Mid,caf26
2494,wt,0.25365056172765543,False,Mid,caf26
2495,wt,0.016348775565150797,True,Mid,caf26
2496,wt,0.47669412505114095,False,Mid,caf26
2497,wt,1.105612476091208,False,Mid,caf26
2498,wt,0.6526648301132347,False,Mid,caf26
2499,wt,0.19541433402960773,False,Mid,caf26
